; This Ascii PoiFile was generated on 29/07/2007 by PoiEdit, ©2002-2007 by Dnote Software (http://www.dnote.nl). All rights reserved.
0.04707, 45.5836, "[Roman nv] 16 Roullet (Saint Cybard de Roullet)*"
6.7704, 43.4249, "[Roman nv] 83 Saint Raphaël (San Rafeu de St Raphaël)*"
4.8333, 45.5844, "[Roman nv] 16 Roullet-Saint-Estèphe (Saint Estèphe de Roullet-Saint-Estèphe)*"
0.10722, 45.6428, "[Roman nv] 16 Saint Michel d'Entraygues (Saint Michel d'Entraygues)*"
0.31874, 45.8334, "[Roman nv] 16 Sainte-Colombe (Sainte-Colombe)*"
0.05595, 45.64, "[Roman nv] 16 Trois Palis (Notre Dame de Trois Palis)*"
0.81954, 49.4328, "[Benedictin nv] 76 Jumiège (Abbaye de Jumiège)*"
-1.5105, 48.6352, "[Cistercien nv] 50 Mont-Saint-Michel (Abbaye du Mont-Saint-Michel)*"
-0.31264, 45.8886, "[Roman nv] 17 Bagnizeau (Saint Vivien de Bagnizeau)*"
1.7684, 50.4663, "[Gothic nv] 62 Montreuil-sur-Mer (Saint-Saulve de Montreuil-sur-Mer)*"
0.11895, 45.511, "[Roman nv] 16 Voulgézac (Notre Dame de Voulgézac)*"
